N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей);;;;;;;;;
1;Верхнеуфалейский;-4 725,3;;;;;;;;;
2;Златоустовский;-56 469,7;;;;;;;;;
3;Карабашский;1 351,6;;;;;;;;;
4;Копейский;-91 312,5;;;;;;;;;
5;Кыштымский;34 981,2;;;;;;;;;
6;Локомотивный;437,3;;;;;;;;;
7;Магнитогорский;80 215,2;;;;;;;;;
8;Миасский;16 228,3;;;;;;;;;
9;Озерский;-23 263,5;;;;;;;;;
10;Снежинский;12 280,4;;;;;;;;;
11;Трехгорный;-6 461,0;;;;;;;;;
12;Троицкий;-8 594,5;;;;;;;;;
13;Усть-Катавский;9 090,6;;;;;;;;;
14;Чебаркульский;-22 927,1;;;;;;;;;
15;Челябинский;324 131,1;;;;;;;;;
16;Южноуральский;-144 289,8;;;;;;;;;
17;Агаповский;2 535,7;;;;;;;;;
18;Аргаяшский;-26 220,0;;;;;;;;;
19;Ашинский;27 158,0;;;;;;;;;
20;Брединский;8 301,4;;;;;;;;;
21;Варненский;-16 246,7;;;;;;;;;
22;Верхнеуральский;-10 123,3;;;;;;;;;
23;Еманжелинский;17 324,1;;;;;;;;;
24;Еткульский;22 278,9;;;;;;;;;
25;Карталинский;-49 369,2;;;;;;;;;
26;Каслинский;-24 790,0;;;;;;;;;
27;Катав-Ивановский;-56 232,8;;;;;;;;;
28;Кизильский;-6 880,8;;;;;;;;;
29;Коркинский;15 089,0;;;;;;;;;
30;Красноармейский;-7 698,7;;;;;;;;;
31;Кунашакский;8 048,6;;;;;;;;;
32;Кусинский;-9 338,4;;;;;;;;;
33;Нагайбакский ;-15 670,8;;;;;;;;;
34;Нязепетровский;-127,2;;;;;;;;;
35;Октябрьский;-14 222,9;;;;;;;;;
36;Пластовский;-5 299,5;;;;;;;;;
37;Саткинский;31 862,4;;;;;;;;;
38;Сосновский;34 752,6;;;;;;;;;
39;Троицкий;13 648,9;;;;;;;;;
40;Увельский;3 450,7;;;;;;;;;
41;Уйский;2 080,4;;;;;;;;;
42;Чебаркульский ;-3 560,5;;;;;;;;;
43;Чесменский;218,5;;;;;;;;;
