N;Наименование муниципального образования;Дефицит / профицит (тыс. рублей)
1;Верхнеуфалейский;-31 635,7
2;Златоустовский;-111 039,7
3;Карабашский;-17 427,4
4;Копейский;-101 914,5
5;Кыштымский;-25 867,0
6;Локомотивный;17 348,0
7;Магнитогорский;-441 668,6
8;Миасский;-70 501,2
9;Озерский;2 390,5
10;Снежинский;17 118,4
11;Трехгорный;-9 406,5
12;Троицкий;962,8
13;Усть-Катавский;810,2
14;Чебаркульский;-68 505,7
15;Челябинский;-456 102,5
16;Южноуральский;-3 297,7
17;Агаповский;-3 473,7
18;Аргаяшский;-16 232,3
19;Ашинский;-43 564,3
20;Брединский;18 796,2
21;Варненский;8 748,5
22;Верхнеуральский;-31 566,0
23;Еманжелинский;-29 132,2
24;Еткульский;-2 715,3
25;Карталинский;4 366,8
26;Каслинский;-41 440,8
27;Катав-Ивановский;-6 905,6
28;Кизильский;-14 368,4
29;Коркинский;421,6
30;Красноармейский;-25 897,3
31;Кунашакский;-36 488,9
32;Кусинский;3 533,1
33;Нагайбакский ;-69 067,1
34;Нязепетровский;-16 273,5
35;Октябрьский;-2 351,7
36;Пластовский;7 330,1
37;Саткинский;153 784,4
38;Сосновский;431,2
39;Троицкий;6 744,0
40;Увельский;-65 134,5
41;Уйский;7 619,5
42;Чебаркульский ;13 749,4
43;Чесменский;-23 799,1
